score,label,Start time,End time,Video_Name,Result
0.5875234007835388,okn,0,2,right,1
0.5655929446220398,neutral_gaze,1,3,right,0
0.5963066816329956,okn,2,4,right,1
0.5006744265556335,neutral_gaze,3,5,right,0
0.6188876032829285,neutral_gaze,4,6,right,0
0.504308819770813,neutral_gaze,5,7,right,0
0.573970377445221,okn,6,8,right,1
0.5798699259757996,okn,7,9,right,1
0.5652894377708435,neutral_gaze,8,10,right,0
0.5770812630653381,okn,9,11,right,1
0.5228754878044128,okn,10,12,right,1
0.6611823439598083,okn,11,13,right,1
0.5224086046218872,okn,12,14,right,1
0.5613698363304138,neutral_gaze,13,15,right,0
0.515317440032959,okn,14,16,right,1
0.5209327936172485,okn,15,17,right,1
0.6134966015815735,neutral_gaze,16,18,right,0
0.522230327129364,neutral_gaze,17,19,right,0
0.5921190977096558,okn,18,20,right,1
0.5403950810432434,okn,19,21,right,1
0.5092467665672302,okn,20,22,right,1
0.5056709051132202,okn,21,23,right,1
0.5577243566513062,okn,22,24,right,1
0.5164214372634888,okn,23,25,right,1
0.5180827975273132,neutral_gaze,24,26,right,0
0.566247284412384,okn,25,27,right,1
0.5251138210296631,neutral_gaze,26,28,right,0
0.6203333735466003,okn,27,29,right,1
0.647518515586853,okn,28,30,right,1
0.5689867734909058,okn,29,31,right,1
0.6062420606613159,okn,30,32,right,1
0.6186919808387756,okn,31,33,right,1
0.5418215394020081,neutral_gaze,32,34,right,0
0.5636564493179321,neutral_gaze,33,35,right,0
0.5311294198036194,okn,34,36,right,1
0.5708065629005432,okn,35,37,right,1
0.5679100751876831,neutral_gaze,36,38,right,0
0.6017662286758423,okn,37,39,right,1
0.5573095083236694,okn,38,40,right,1
0.5554659366607666,neutral_gaze,39,41,right,0
0.5161298513412476,okn,40,42,right,1
0.5680493712425232,okn,41,43,right,1
0.5782167315483093,okn,42,44,right,1
0.5243953466415405,okn,43,45,right,1
0.6623745560646057,okn,44,46,right,1
0.5549553036689758,okn,45,47,right,1
0.5533692836761475,okn,46,48,right,1
0.5534347891807556,okn,47,49,right,1
0.549193799495697,neutral_gaze,48,50,right,0
0.5004968643188477,okn,49,51,right,1
0.6008878350257874,okn,50,52,right,1
0.5302963852882385,okn,51,53,right,1
0.5021085143089294,okn,52,54,right,1
0.5859861373901367,okn,53,55,right,1
0.5906128883361816,okn,54,56,right,1
0.5249922275543213,okn,55,57,right,1
0.512498140335083,okn,56,58,right,1
0.6313763856887817,okn,57,59,right,1
